Name, Extended Price, Quantity Used, Link
PCB, 2, 1, JLC PCB
Seeed Studio Xiao ESP32 S3 Plus, 7.99, 1, https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Plus-p-6361.html

2.8in SPI TFT Color Screen, 6.06, 1, https://www.aliexpress.us/item/3256805941534896.html

0805 SMD Ferrite Bead : 600ohm @ 100MHz, 0.55, 1, https://www.lcsc.com/product-detail/C2441364.html
Rotary Encoder, 2.12, 1, https://www.lcsc.com/product-detail/C18164805.html
Right Angle THT Tactile Switch, 1.87, 2, https://www.lcsc.com/product-detail/C266196.html
Audio Amplifier MAX98357AETE+T, 1.33, 1, https://www.lcsc.com/product-detail/C910544.html
Battery Monitor IC MAX17048G+T10, 2.04, 1, https://www.lcsc.com/product-detail/C2682616.html
AO3407A MOSFET, 0.49, 1, https://www.lcsc.com/product-detail/C15155.html
0603 SMD 0.1uF Cap, 1.42, 3, https://www.lcsc.com/product-detail/C1591.html
0603 SMD 10uF Cap, 1.31, 3, https://www.lcsc.com/product-detail/C1691.html
Electrolytic THT 0.1uF Cap, 0.64, 1, https://www.lcsc.com/product-detail/C45664.html
Electrolytic THT 100uF Cap, 0.49, 2, https://www.lcsc.com/product-detail/C271443.html
100kohm Resistor THT, 0.66, 3, https://www.lcsc.com/product-detail/C172965.html?spm=wm.fly.bg.0.xh___wm.fly.tp.7.ml&lcsc_vid=FQAIXgAARlFfU1IFR1BeBFICR1JYBQdXRllWBFFTQlQxVlNeRVdfV1RQQldbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
10kohm Resistor THT, 0.69, 2, https://www.lcsc.com/product-detail/C2903232.html?spm=wm.fly.bg.0.xh___wm.fly.tp.7.ml&lcsc_vid=FQAIXgAARlFfU1IFR1BeBFICR1JYBQdXRllWBFFTQlQxVlNeRVdfV1RQQldbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
100ohm Resistor THT, 0.74, 1, https://www.lcsc.com/product-detail/C2903232.html?spm=wm.fly.bg.0.xh___wm.fly.tp.7.ml&lcsc_vid=FQAIXgAARlFfU1IFR1BeBFICR1JYBQdXRllWBFFTQlQxVlNeRVdfV1RQQldbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
4.7kohm Resistor THT, 0.79, 2, https://www.lcsc.com/product-detail/C433513.html?spm=wm.fly.bg.0.xh___wm.fly.tp.7.ml&lcsc_vid=FQAIXgAARlFfU1IFR1BeBFICR1JYBQdXRllWBFFTQlQxVlNeRVdfV1RQQldbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D

Transparent PETG Filament, 15.99, 1, https://www.microcenter.com/product/626540/inland-175mm-petg-3d-printer-filament-1kg-(22-lbs)-spool-clear
Aliexpress shipping and stuff total, 8.05, -1, null
JLC PCB shipping and stuff total, 5.30, -1, null
LCSC shipping and stuff total, 27.05, -1, null
Seeed Studio shipping and stuff total, 15.30, -1, null

Total w/ shipping, ~71.69, -1, null
