Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BT1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Battery,
C1,CP_Radial_D4.0mm_P2.00mm,1,0.1uF,
"C10, C8",CP_Radial_D4.0mm_P2.00mm,2,100uF,
"C2, C5, C7",0603,3,0.1uF,
"C3, C4, C6",0603,3,10uF,
FB1,0805,1,FerriteBead,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,100kOhm,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100 ohm,
"R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10kohm,
"R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,4.7k,
SW1,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,1,RotaryEncoder_Switch,
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,Volume Up,
SW3,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,Volume Down,
TP1,TestPoint_Pad_D1.5mm,1,D-,
TP2,TestPoint_Pad_D1.5mm,1,D+,
U1,XIAO-ESP32-S3-Plus-SMD,1,XIAO-ESP32-S3-Plus-SMD,
U2,SOT-23-3L_AOS,1,AO3407A,
U3,21-0168E_T822-3_MXM,1,MAX17048G+T10,
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U5,CR2013-MI2120,1,CR2013-MI2120,
