Designator,Mid X,Mid Y,Rotation,Layer
_2,150.975,-134.4,0.0,top
,89.975,-134.6,0.0,top
BT1,141.35,-113.9,270.0,top
C1,133.127401,-121.875,0.0,top
C10,106.577401,-120.975,0.0,top
C2,95.5525,-117.0225,0.0,top
C3,95.6025,-124.0475,0.0,top
C4,101.225,-53.375,180.0,bottom
C5,90.9375,-52.7,180.0,bottom
C6,104.375,-131.9625,270.0,top
C7,109.9,-131.95,270.0,top
C8,96.225,-131.3,270.0,top
FB1,92.24,-118.21,90.0,top
JP1,102.175,-114.525,180.0,top
JP2,102.175,-110.975,180.0,top
JP3,102.175,-107.425,180.0,top
JP4,102.175,-103.9,180.0,top
JP5,102.175,-100.35,180.0,top
JP6,88.875,-89.375,0.0,top
JP7,88.85,-92.9,0.0,top
JP8,88.85,-96.45,0.0,top
JP9,88.85,-100.0,0.0,top
LS1,89.125,-111.33,0.0,top
R1,105.81,-129.075,0.0,top
R2,107.95,-114.575,180.0,top
R3,107.675,-100.35,180.0,top
R4,105.8,-126.85,180.0,top
R5,146.9,-57.725,0.0,bottom
R6,100.86,-58.675,180.0,bottom
R7,139.967401,-126.275,0.0,top
R8,140.002401,-123.775,0.0,top
SW1,120.075,-106.275,0.0,top
SW2,93.1225,-59.16,270.0,bottom
SW3,93.1225,-69.76,270.0,bottom
TP1,133.225,-131.375,0.0,top
TP2,133.225,-134.925,0.0,top
U1,120.455,-128.109,270.0,top
U2,99.775,-128.1,270.0,top
U3,133.124101,-125.974999,0.0,top
U4,93.99,-113.785,0.0,top
U5,120.255,-62.825,0.0,top
